VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchasRatio,UnsoldInventoryValue
4425,MARTIGNETTI COMPANIES,23143,Bogle Chard,4.65,6.79,750,74342,345690.3,70891.0,580701.69,99079.37,7959.39,144929.24,235011.38999999996,40.470243852743046,0.9535794032982702,1.6798321792656605,16047.150000000001
1128,BROWN-FORMAN CORP          ,1231,Jack Daniels No 7 Black,9.48,12.99,375,36450,345546.0,34253.0,419112.47000000003,188597.67,13461.84,68601.68,73566.47000000003,17.55291843261071,0.9397256515775034,1.2128992087884103,20827.56
480,BACARDI USA INC            ,3344,Bombay Sapphire Gin,14.49,19.99,750,23798,344833.02,23971.0,503788.29,231108.24999999997,18877.37,89286.27,158955.26999999996,31.55199776477535,1.0072695184469282,1.4609630191447442,-2506.77
8004,SAZERAC CO INC             ,5191,Fireball Cinnamon Whiskey,7.93,9.99,375,43352,343781.36,41655.0,416133.45,164015.82,16377.42,50293.62,72352.09000000003,17.3867517739802,0.9608553238604909,1.2104596072340863,13457.21
3960,DIAGEO NORTH AMERICA INC   ,3878,Smirnoff 80 Proof,7.96,10.99,750,43015,342399.4,42414.0,485679.86,171583.43,33393.45,257032.07,143280.45999999996,29.501009162702353,0.9860281297221899,1.418460020665924,4783.96
3960,DIAGEO NORTH AMERICA INC   ,3352,Ciroc Coconut Vodka,18.79,24.99,750,18095,340005.05,18664.0,466652.36,89917.64,14699.93,257032.07,126647.31,27.139541306509194,1.0314451505940867,1.372486555714393,-10691.51
12546,JIM BEAM BRANDS COMPANY    ,3253,Gilbeys London Dry,9.08,12.49,1750,37423,339800.83999999997,36906.0,456133.94,152263.8,67808.74,123880.97,116333.10000000003,25.504153451067474,0.9861849664644737,1.3423567169522008,4694.36
3664,WILLIAM GRANT & SONS INC   ,1921,Glenfiddich Special Rsv 12,52.71,67.99,1750,6436,339241.56,5241.0,364518.58999999997,223239.12,9632.9,30234.420000000002,25277.02999999997,6.934359644044484,0.8143256681168427,1.0745104167071982,62988.450000000004
3960,DIAGEO NORTH AMERICA INC   ,4264,Capt Morgan Spiced Rum Trav,11.53,16.99,750,29352,338428.56,28369.0,439145.31,207462.11,22335.87,257032.07,100716.75,22.93472062812193,0.9665099482147724,1.2976012130891081,11333.99
3960,DIAGEO NORTH AMERICA INC   ,2752,Johnnie Walker Black Label,26.31,38.99,750,12778,336189.18,12704.0,477051.96,264893.75,10007.57,257032.07,140862.78000000003,29.527764648530113,0.9942087963687588,1.4189985531360647,1946.9399999999998
12546,JIM BEAM BRANDS COMPANY    ,3997,Hornitos Plata Tequila,14.05,19.99,750,23835,334881.75,22500.0,463996.0,228850.05999999997,17717.76,123880.97,129114.25,27.826586867128167,0.9439899307740718,1.3855517656605651,18756.75
3664,WILLIAM GRANT & SONS INC   ,3234,Hendrick's Gin,45.92,62.99,1750,7290,334756.8,7240.0,454423.6,287019.4,13306.4,30234.420000000002,119666.79999999999,26.3337555531887,0.9931412894375857,1.3574738436978726,2296.0
8004,SAZERAC CO INC             ,1767,Buffalo Trace Bourbon,19.37,24.99,750,17274,334597.38,15707.0,396120.93,198163.28999999998,12370.76,50293.62,61523.54999999999,15.531507007216202,0.909285631585041,1.183873376414364,30352.79
3664,WILLIAM GRANT & SONS INC   ,5337,Drambuie,20.6,27.99,750,16167,333040.2,13763.0,380955.37,212932.52,10841.09,30234.420000000002,47915.169999999984,12.577633437743636,0.8513020350095875,1.1438720310641177,49522.4
